StartDate,TimeSign,CurrencyCode,CurrencyCodeL,Units,Amount
01.08.2018,0000,036,AUD,100,1995.1138
01.08.2018,0000,933,BYN,10,135.3282
01.08.2018,0000,764,THB,100,80.8274
01.08.2018,0000,975,BGN,100,1612.1679
01.08.2018,0000,410,KRW,1000,24.0181
01.08.2018,0000,344,HKD,100,342.3017
01.08.2018,0000,208,DKK,100,423.2376
01.08.2018,0000,840,USD,100,2686.6717
01.08.2018,0000,978,EUR,100,3153.0779
01.08.2018,0000,818,EGP,100,150.8841
01.08.2018,0000,392,JPY,1000,240.9873
01.08.2018,0000,985,PLN,100,737.2172
01.08.2018,0000,356,INR,1000,391.9569
01.08.2018,0000,364,IRR,1000,0.6096
01.08.2018,0000,124,CAD,100,2061.1047
01.08.2018,0000,191,HRK,100,425.9765
01.08.2018,0000,484,MXN,100,144.7561
01.08.2018,0000,498,MDL,100,162.1671
01.08.2018,0000,376,ILS,100,732.899
01.08.2018,0000,554,NZD,100,1831.8003
01.08.2018,0000,578,NOK,100,330.7262
01.08.2018,0000,643,RUB,10,4.309
01.08.2018,0000,946,RON,100,681.6729
01.08.2018,0000,360,IDR,10000,18.6316
01.08.2018,0000,702,SGD,100,1973.6341
01.08.2018,0000,960,XDR,100,3774.4172
01.08.2018,0000,398,KZT,100,7.7493
01.08.2018,0000,949,TRY,100,550.093
01.08.2018,0000,348,HUF,1000,98.4015
01.08.2018,0000,826,GBP,100,3534.0483
01.08.2018,0000,203,CZK,100,123.1767
01.08.2018,0000,752,SEK,100,307.4074
01.08.2018,0000,756,CHF,100,2720.0465
01.08.2018,0000,156,CNY,100,393.2597
01.08.2018,0000,944,AZN,100,1580.3951
01.08.2018,0000,012,DZD,100,22.8499
01.08.2018,0000,986,BRL,100,719.5851
01.08.2018,0000,051,AMD,10000,558.6177
01.08.2018,0000,784,AED,100,731.505
01.08.2018,0000,704,VND,10000,11.5531
01.08.2018,0000,368,IQD,100,2.2645
01.08.2018,0000,981,GEL,100,1097.3173
01.08.2018,0000,422,LBP,1000,17.8161
01.08.2018,0000,458,MYR,100,661.9802
01.08.2018,0000,504,MAD,100,284.6051
01.08.2018,0000,901,TWD,100,87.8773
01.08.2018,0000,586,PKR,100,22.2683
01.08.2018,0000,710,ZAR,100,205.177
01.08.2018,0000,682,SAR,100,716.4458
01.08.2018,0000,941,RSD,100,26.6879
01.08.2018,0000,417,KGS,100,39.5099
01.08.2018,0000,972,TJS,100,285.2093
01.08.2018,0000,050,BDT,100,31.9842
01.08.2018,0000,788,TND,100,1000.4736
01.08.2018,0000,934,TMT,100,767.6205
01.08.2018,0000,860,UZS,100,0.3448
01.08.2018,0000,959,XAU,10,327559.01
01.08.2018,0000,961,XAG,10,4161.65
01.08.2018,0000,962,XPT,10,221919.08
01.08.2018,0000,964,XPD,10,249323.13
